gene-cCRE pairs	PCC	p-value	FDR
Top3a|cCREs40993	0.453909391528582	0.00842727514834796	0.047861781618671
Tox2|cCREs148329	0.577104380178075	0.00122030141290153	0.0160515126214473
Tox2|cCREs148333	0.534172524779992	0.00249778883337881	0.0238372404537565
Tox2|cCREs148345	0.513900026904511	0.00344742897895245	0.0285535290654468
Tox3|cCREs233413	0.586425094961456	0.00103817814410356	0.0146044059339945
Tox3|cCREs233421	0.574150860420746	0.00128384374204982	0.0164514173590624
Tox3|cCREs233442	0.556733008345146	0.00172417908180311	0.019255559983262
Tox|cCREs166588	0.600376743908494	0.000811751082331114	0.0128971947126511
Tox|cCREs166617	0.545144840422219	0.00208908946841846	0.0214394300495247
Tox|cCREs166623	0.533208162227984	0.00253695903803064	0.0240406367910827
Tox|cCREs166635	0.461940464626536	0.00751541332740491	0.044744520645114
Tox|cCREs166641	0.481881414283663	0.00561675851690813	0.0376094392977463
Tox|cCREs166659	0.515341721522745	0.00337046804280949	0.0281365671348167
